Review #,Brand,Variety,Style,Country,Stars,Re-Review
33,Koka,Mi Hai Tom Prawn,Pack,Singapore,3.5,1
34,Maruchan,Ramen Noodle Soup Shrimp,Pack,USA,2,
35,Mama,Chand Clear Soup,Pack,Thailand,3,
36,Lucky Me!,Itnok,Pack,Philippines,3,
37,Lucky Me!,Pancit Canton Hot Chili Flavor,Pack,Philippines,3,
38,Lucky Me!,Pancit Canton Citrus Flavor,Pack,Philippines,3,
39,Lucky Me!,Supreme Bulalo Flavor,Bowl,Philippines,3,
40,Lucky Me!,Pancit Canton Chili Mansi,Pack,Philippines,3,
41,Little Cook,Pork Mustard Stem,Bowl,Thailand,0.5,
42,Ve Wong,Kung-Fu Chicken Flavor,Pack,Vietnam,1,1
43,Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,Bowl,Taiwan,0,
44,Indomie,Special Chicken,Pack,Indonesia,4,2
45,Indomie,Mi Goreng Sate,Pack,Indonesia,5,1
46,Indomie,Mi Goreng Jumbo Meatball,Pack,Indonesia,3,
47,Indomie,Mi Goreng Jumbo Barbecue Chicken,Pack,Indonesia,4,1
48,Indomie,Shrimp Flavor,Pack,Indonesia,3,
49,Indomie,Mi Goreng Pedas Hot,Pack,Indonesia,4,1
50,Indomie,Mi Goreng,Pack,Indonesia,4,1
51,Indomie,Curly Noodles With Grilled Chicken,Pack,Indonesia,5,2
52,Indomie,Chicken Curry,Pack,Indonesia,4,2
53,Indomie,Chicken,Cup,Indonesia,2,
54,Hua Feng Noodle Expert,Spicy Seafood Flavor,Pack,China,3,
55,Hua Feng Noodle Expert,Favoury Pork Flavor,Pack,China,1,
56,Doll,Instant Noodles With Sesame Oil & Soup Base,Pack,Hong Kong,1,
57,Doll,Instant Fried Noodles With Chili Sauce,Tray,Hong Kong,3,
58,Ve Wong,A-One Bun Tom Shrimp,Pack,Taiwan,3,
59,Maggi,Chinese Noodles Lemon Chicken Flavor,Pack,India,3.5,
60,Maggi,Vegetable Atta Noodles Masala,Pack,India,2,
61,Maggi,2 Minute Noodles Curry,Pack,India,2.5,
62,Maggi,Rice Noodle Mania Lemon Masala,Pack,India,1.5,
63,Nissin,Souper Meal Chicken Flavor With Vegetable Medley,Bowl,Japan,3,
64,Sapporo Ichiban,Chicken Flavor,Pack,USA,3.5,
65,Nissin,Top Ramen Oriental,Pack,USA,2.5,
66,Maruchan,Ramen Noodle Soup Pork,Pack,USA,2.45,1
67,Maruchan,Ramen Noodle Soup Lime Chili Shrimp,Pack,USA,2,
68,Wei Lih,Jah Jan Mien Instant Noodle With Fried Soybean Paste,Pack,Taiwan,2.4,1
69,Baijia,Spicy Fei- Chang Sweet Potato Noodle,Pack,China,1.75,
70,Nissin,Demae Ramen XO Sauce Seafood,Pack,Japan,4,
71,Nissin,Demae Ramen Satay,Pack,Japan,2.5,
72,Nissin,Demae Ramen Tonkatsu Artificial Pork,Pack,Japan,3.5,
73,Nissin,Demae Ramen Five Spices Artificial Beef,Pack,Japan,3.5,
74,Nissin,Demae Ramen Shoyu,Pack,Japan,4,
75,Indomie,Mi Goreng Rendang,Pack,Indonesia,4.5,
76,Indomie,Meatball Flavor,Pack,Indonesia,2.5,
77,Nissin,Demae Ramen Prawn,Pack,Japan,3.25,
78,Nissin,Demae Ramen Seafood,Pack,Japan,2.5,
79,Sapporo Ichiban,Kitsune Udon,Pack,Japan,3.25,
80,Unif / Tung-I,Artificial Chicken,Pack,Taiwan,3.5,
81,Unif / Tung-I,Artificial Spicy Beef,Pack,Taiwan,3.5,
82,Nissin,Demae Ramen Miso,Pack,Japan,2.75,
83,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,2,
84,Samyang,Kalgug-Su Assorted Clam,Pack,Korea,1.8,
85,Nissin,Demae Ramen Sesame,Pack,Japan,1.75,1
86,Unif / Tung-I,Onion Flavor,Pack,Taiwan,3.65,
87,Wai Wai,Tom Yum Shrimp Cream Soup,Pack,Thailand,2.75,
88,Paldo,Korean Noodle Chicken,Pack,Korea,3.25,1
89,Unif,100 Artificial Stewed Pork Chop,Pack,Taiwan,3.2,
90,Long Kow,Crystal Noodle Six Kinds Of Mushrooms,Pack,China,2.3,
91,Binh Tay,Mi Chay Mushroom,Pack,Vietnam,2.75,
92,Fashion Food,Tom Yum Seafood Creamy,Bowl,Thailand,2,
93,Payless,Xtra Big Original Pancit Canton,Pack,Philippines,4.5,1
94,Mama,Artificial Chicken,Pack,Thailand,2.5,
95,Wei Lih,Artificial Beef Flavor,Pack,Taiwan,1,
96,Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Pack,Vietnam,3.75,
97,Saigon Ve Wong,Kung Fu Mi Tom Chua Sour Shrimp,Pack,Vietnam,2.5,
98,Unif / Tung-I,Chah Chiang,Pack,Taiwan,2.5,
99,Ve Wong,Kung Fu Artificial Onion,Pack,Taiwan,2.75,
100,Unif / Tung-I,Artificial Chinese Beef,Pack,Taiwan,2.85,
101,Ve Wong,Artificial Sesame Chicken,Pack,Taiwan,3.8,
102,Indomie,Soto Mie,Pack,Indonesia,1.5,
103,Ve Wong,Vegetarian Flavor,Pack,Taiwan,3,
104,Maruchan,Ramen Noodle Soup Chicken,Pack,USA,2,
105,Indomie,Special Fried Curly Noodle,Pack,Indonesia,5,
106,GreeNoodle,Tom Yum,Pack,Thailand,0.5,
107,Ottogi,Pow Crunch Teriyaki,Pack,Korea,1.1,
108,Teriyaki Time,Ramen,Bowl,USA,2,
109,Mama,Pad Thai,Pack,Thailand,3.1,
110,Lucky Me!,Artificial Chicken,Pack,Philippines,1.5,
111,Ottogi,Odongtongmyon Seafood Spicy,Pack,Korea,3.25,
112,Ottogi,Jiajang Noodle,Pack,Korea,3.75,
113,Nongshim,Hooroorook ,Pack,Korea,3.1,1
114,Samyang,Kimchi,Pack,Korea,2.9,
115,Ottogi,Miso Ramyun,Pack,Korea,2.8,
116,Mama,Nam Vang,Pack,Thailand,3.6,
117,Ottogi,Ramyonsari,Pack,Korea,4,1
118,Paldo,Bibim Men,Pack,Korea,2.5,1
119,Ve Wong,Artificial Pork & Chicken,Pack,Taiwan,3.4,
120,Samyang,Beef,Pack,Korea,2,1
121,Ottogi,Bekse Curry,Pack,Korea,3.5,1
122,Doll,Shrimp Wonton,Pack,Hong Kong,4,
123,Wai Wai,Minced Pork Soeng Kreung,Pack,Thailand,3.7,
124,Nissin,Yakisoba With Mayonnaise/Mustard Packet,Tray,Japan,5,
125,Shirakiku,Japanese Style Tokusen Karami,Pack,Japan,3,
126,Mama,Tom Yam Koong Rice Vermicelli,Pack,Thailand,1.5,
127,Vifon,Mi Chay Vegetarian,Pack,Vietnam,2.8,
128,Mama,Artificial PA-LO Duck,Pack,Thailand,0.1,
129,Nongshim,Mupama Tang Myun,Pack,Korea,2.8,1
130,Sapporo Ichiban,Miso Soybean Paste,Pack,Japan,3.5,
131,Unif,100 Artificial Shallot Chicken,Pack,Taiwan,3.25,
132,Ve Wong,Artificial Peppered Beef,Pack,Taiwan,3.5,
133,Baijia,Hot & Sour Rice Noodle,Pack,China,0,
134,Global Inspiration,Gyeong-Gi-Do Rice,Bowl,Korea,2.25,
135,Unif / Tung-I,Fresh Shrimp,Pack,Taiwan,3.25,
136,Mama,Shrimp Creamy Tom Yum,Pack,Thailand,2,1
137,Nissin,Bowl Noodles Rich & Savory Chicken,Bowl,USA,1.75,
138,Unif,100 Furong Shrimp,,Taiwan,3,
139,Kamfen,Noodle King Beef,Pack,China,1.75,
140,Mama,Mi Goreng,Pack,Thailand,5,
141,Six Fortune,Seafood Flavor,Pack,Korea,2.5,
142,Nissin,Chow Mein Teriyaki Beef,Tray,USA,4.5,
143,Mama,Mamy Chand Clear Soup,Pack,Thailand,2.75,
144,Nongshim,Kimchi Ramyun,Pack,Korea,3.5,
145,Sakurai,Vegetarian Flavor,Pack,Japan,3.5,
146,Mama,Pho Bo,Pack,Thailand,2.5,
147,Higashi,Nagasaki Sara Udon,Pack,Japan,5,
148,Myojo,Okinawa Soba,Pack,Japan,3.75,
149,Maruchan,Akai Kitsune Udon,Bowl,Japan,4,
150,Chorip Dong,Jjambbong Hot Spicy Seafood,Bowl,Korea,4.25,
151,Shirakiku,Japanese Style Tokusen Miso,Pack,Japan,3,
152,Wu Mu,Steamed Noodle Garlic & Sesame Oil,Pack,Taiwan,4.5,
153,Sapporo Ichiban,Shrimp Flavor,Cup,USA,1.75,
154,Nissin,Creamy Chicken,Cup,USA,1.75,
155,Lucky Me!,Pancit Canton,Pack,Philippines,4.75,
156,Maruchan,Instant Lunch Cajun Style With chili Piquin Shrimp,Cup,USA,3,
157,Nissin,Sotanghon,Cup,Philippines,2,
158,Mama,Jok Cup Porridge Artificial Pork,Cup,Thailand,2.5,
159,Mama,Hot & Spicy,Pack,Thailand,1.75,
160,Myojo,Ramen Desse Soy Sauce,Bowl,Japan,1.5,
161,Paldo,Green Tea Chlorella,Pack,Korea,0,
162,Myojo,Chukazanmai Oriental,Pack,Japan,3.75,
163,Vifon,Asian Style Instant Noodles Chicken,Pack,Vietnam,3.5,
164,Unif / Tung-I,Artificial Beef Flavor,Pack,Taiwan,3.75,
165,Doll,Sesame Oil,Pack,Hong Kong,3.5,
166,Koyo,Garlic Pepper,Pack,USA,3.25,
167,Wai Wai,Crab Instant Rice Vermicelli,Pack,Thailand,2.5,
168,JFC,Japanese Style Noodle Fresh Udon,Bowl,Japan,3.75,
169,Samyang,Seafood Party,Pack,Korea,2.25,
170,Myojo,Chukazanmai Soybean Paste,Pack,Japan,3.5,
171,Samyang,Japanese Seafood Flavor Udon,Pack,Korea,3.75,
172,Mama,Flat Noodle Tom Yum,Pack,Thailand,3.75,
173,Unif / Tung-I,Instant Bean Vermicelli Shrimp,Pack,Taiwan,1.5,
174,Lucky Me!,Sotanghon Artificial Chicken,Pack,Philippines,0.25,
175,Samyang,Cold Ramen With Ponytail Radish,Pack,Korea,3,
176,Paldo,Dosirac Pork,Tray,Korea,4.125,
177,Vifon,Hu Tieu Bo Kho An Lien Beef,Pack,Vietnam,3.75,
178,Mama,Oriental Style Clear Soup,Pack,Thailand,2,
179,Mama,Kimchi,Pack,Thailand,3,
180,Myojo,Hyobanya No Yakisoba Sauce Flavor,Tray,Japan,4.75,
181,Kamfen,Noodle King Thin Wonton,Pack,China,2,
182,Myojo,Chukazanmai Soy Sauce chili Oil,Pack,Japan,3.25,
183,Nissin,Bowl Noodles Hot & Spicy Chicken,Bowl,USA,2,
184,Myojo,Chukazanmai Soy Sauce,Pack,Japan,3.75,
185,Shirakiku,Sanukiya Udon,Bowl,Japan,3.75,
186,Paldo,Teumsae Ramyun,Pack,Korea,3,1
187,Paldo,Hwa Ramyun Soy Peptide,Pack,Korea,4.25,1
188,Nongshim,Udon,Pack,Korea,4,
189,Nissin,Cup Noodles Manchurian,Cup,India,3,
190,Maggi,Perencah Tom Yam,Pack,Malaysia,2.9,
191,Wu Mu,Steamed Noodle Chinese Herbs,Pack,Taiwan,3.25,
192,Paldo,Soy Flavor Noodle,Pack,Korea,4.1,1
193,Boss,Shrimp Tom Yum Flavor,Bowl,Thailand,2.5,
194,Saigon Ve Wong,Kung Fu Instant Rice Noodles Artificial Chicken,Pack,Vietnam,3.5,
195,Myojo,Chukazanmai Served Cool Sesame Flavored Rice Vinegar Sesame,Pack,Japan,3,
196,Nissin,Cup Noodles Pani Puri,Cup,India,1.5,
197,Rhee Bros Assi,Rice Noodle With Spicy Flavored Soup,Tray,Korea,2.25,
198,Shirakiku,Sanukiya Somen,Bowl,Japan,4.25,
199,Samyang,Chinese Soybean Paste,Pack,Korea,2,
200,Nongshim,Bowl Noodle Spicy Chicken,Bowl,USA,4.5,
201,Nongshim,Bowl Noodle Beef Ginger,Bowl,USA,3.5,
202,Nongshim,Bowl Noodle Cabbage Kimchi,Bowl,USA,3.25,
203,Nongshim,Bowl Noodle Hot & Spicy,Bowl,USA,2,
204,Nongshim,Bowl Noodle Spicy Shrimp,Bowl,USA,2.5,
205,Sapporo Ichiban,Beef Flavor,Pack,USA,4.5,
206,Bon Go Jang,Deuchi Udon,Bowl,Korea,3,
207,Sapporo Ichiban,Original Flavor,Pack,USA,3.5,1
208,Sao Tao,Ramen King Scallop Seafood,Pack,China,4.25,
209,Nissin,Souper Meal Beef Flavor Minestrone,Bowl,USA,3,
210,Rocket Brand,Satoimo Noodles,Pack,China,2.5,
211,Vina Acecook,Kingcook Tomato Sauce Pork,Tray,Vietnam,3.5,
212,Maruchan,Yakisoba Roast chicken,Tray,USA,3.75,
213,Nongshim,Bowl Noodle Spicy Artificial Lobster,Bowl,USA,4,
214,Maruchan,Yakisoba Teriyaki Beef,Tray,USA,2,
215,Maruchan,Yakisoba Chicken,Tray,USA,2,
216,Maruchan,Instant Lunch Roast Chicken Flavor,Cup,USA,2.75,
217,Samyang,Bowl Noodle Kimchi,Bowl,Korea,4,
218,Maruchan,Yakisoba Sweet & Sour Chicken,Tray,USA,3,
219,Six Fortune,Tom Yam Instant soup Noodle,Pack,Korea,2.75,
220,Wei Lih,Good Good Eat Super Ramen Original,Pack,Taiwan,3,
221,Nissin,Top Ramen Beef,Pack,USA,3.75,1
222,Myojo,Udon Crab,Pack,Japan,3,
223,Koka,Laksa Singapura,Bowl,Singapore,4.25,
224,Mama,Instant Bowl Noodles Artificial Pork,Bowl,Thailand,2.75,
225,Ottogi,Snack Ramyon,Pack,Korea,3.75,
226,Nissin,Chow Noodles Cheddar Cheese,Tray,USA,4,
227,Quickchow,Bihon Guisado Rice Noodle,Pack,Philippines,1.75,
228,Vifon,Pho Ga Instant rice Noodle,Bowl,Vietnam,2,
229,Myojo,Udon Chicken,Pack,Japan,3.75,
230,Lucky Me!,Supreme Instant Mami Noodles With Free Crackers,Bowl,Philippines,3.75,
231,Indomie,Onion Chicken,Pack,Indonesia,4.5,1
232,Indomie,Mi Goreng Jumbo Beef,Pack,Indonesia,5,
233,Koka,Tom Yum Rice Noodles,Bowl,Singapore,3.25,1
234,Myojo,Udon Shrimp,Pack,Japan,3.75,
235,Koka,Curry,Pack,Singapore,4.25,1
236,Koka,Spicy Sesame,Pack,Singapore,5,1
237,Koka,Spicy Seafood Marinara,Bowl,Singapore,3,
238,Nissin,Chow Noodles Tomato Basil,Bowl,USA,4,
239,Ottogi,Ppushu Ppushu Sweet & Sour,Pack,Korea,1.75,
240,Sanyo Foods,Aunt Mentaiko Durum Spaghetti,Bowl,Japan,4.5,
241,Fu Chang Chinese Noodle Company,Hot & Spicy Beef,Tray,USA,4,
242,Fashion Foods,Tom Klong,Bowl,Thailand,2,
243,Myojo,Udon Hot & Spicy,Pack,Japan,4.5,
244,Nissin,Karashi Mayo Yakisoba,Tray,Japan,4.75,
245,Six Fortune,Broad Noodles,Pack,Korea,3.75,
246,Mama,Artificial Pork Jumbo,Pack,Thailand,3,
247,Myojo,Udon Mushroom,Pack,Japan,3,
248,Koka,Tomato,Pack,Singapore,4,1
249,Unif,100 Artificial Spicy Beef,Pack,Taiwan,3.75,
250,Wu Mu,Steamed Noodle Sesame Oil,Pack,Taiwan,3.75,
251,Fortune,Udon Beef,Pack,USA,3.5,
252,Fortune,Udon Chicken,Pack,USA,3.25,
253,Nongshim,Bowl Noodle Spicy Seafood,Bowl,USA,4.25,
254,Vina Acecook,Daily Hot & Spicy Tom Yun,Pack,Vietnam,4,
255,Mama,Oriental Kitchen Spicy Seafood,Cup,Thailand,3.75,
256,Nissin,Cup Noodles Shrimp,Cup,USA,3.5,
257,Nissin,Cup Noodles Beef,Cup,USA,3.5,
258,Royal Umbrella,Tom Yum Shrimp,Cup,Thailand,3.25,
259,Vina Acecook,Mi Lau Thai Seafood,Pack,Vietnam,4,
260,Nissin,Bowl Noodles Hot & Spicy Shrimp,Bowl,USA,3.5,
261,Vina Acecook,Oh! Ricey Chicken,Pack,Vietnam,3.75,
262,Vina Acecook,Daily Beef Ball,Pack,Vietnam,3.75,
263,Nissin,Chow Mein Kung Pao Chicken,Tray,USA,1.5,
264,Vina Acecook,Hao Hao Sour Hot Shrimp,Pack,Vietnam,3.75,
265,Nissin,Cup Noodles Chicken,Cup,USA,3.5,
266,Vina Acecook,Mi Lau Thai Shrimp,Pack,Vietnam,4,
267,Mama,Pork,Cup,Thailand,2,
268,Nissin,Cup Noodles Spicy Chile Chicken,Cup,USA,3.5,
269,Paldo,Spicy Shrimp Bowl,Bowl,Korea,3.5,
270,Wu Mu,Dried Noodle With BBQ Pork,Pack,Taiwan,2,
271,Paldo,Korean Noodle Kimchi Flavor,Pack,Korea,3.5,
272,Vina Acecook,Mi Lau Thai Artificial Chicken,Pack,Vietnam,3.5,
273,Wai Wai,Minced Pork Tom Yum,Pack,Thailand,2.5,
274,Ve Wong,Kung Fu Artificial Soybean Paste,Pack,Taiwan,4,
275,Mama,Cup Shrimp Tom Yum Flavor,Cup,Thailand,3.75,
276,Wai Wai,Chili Paste Tom Yum,Pack,Thailand,3.25,
277,Vina Acecook,Oh! Ricey Beef Rice Noodles,Pack,Vietnam,4,
278,Fortune,Udon Mushroom,Pack,USA,3,
279,Rhee Bros Assi,Rice Noodles Seafood,Tray,Korea,3.75,
280,Rhee Bros Assi,Rice Noodle Katsuo,Tray,Korea,4,
281,Mama,Oriental Kitchen Hot Spicy,Cup,Thailand,3,
282,Doll,Pickled Vegetable,Pack,Hong Kong,4.25,
283,Paldo,King Cup Kimchi Pot Stew,Cup,Korea,4,1
284,Nissin,Cup Noodles Seafood,Cup,Hong Kong,4.5,
285,Doll,Artificial Chicken,Pack,Hong Kong,4.5,
286,Myojo,Hyoubanya No Yakisoba Oriental,Tray,Japan,4,
287,Paldo,King Cup Lobster,Cup,Korea,3.5,1
288,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Korea,3.25,
289,Paldo,Korean Broad Noodle,Pack,Korea,2,
290,Doll,Spicy Artificial Beef,Pack,Hong Kong,3,
291,Nongshim,Shin Bowl,Bowl,Korea,3,
292,Paldo,Korean U Dong,Pack,Korea,3.75,
293,Tiger,Onion Flaver Rice Noodle,Bowl,Taiwan,0,
294,Paldo,Korean Seafood,Pack,Korea,3.75,1
295,Tablemark,Soybean Paste,Bowl,Japan,4.5,
296,Nissin,Cup Noodles Crab,Cup,Hong Kong,3.25,
297,Rhee Bros Assi,Rice Noodle Hot & Spicy Kimchi,Tray,Korea,3.25,
298,Nongshim,Hearty Rice Noodle Spicy Veggie Consomme,Pack,Korea,2.75,
299,Lucky Me!,Supreme Sotanghon Artificial Chicken Vermicelli ,Bowl,Philippines,3.75,
300,Wu Mu,Steam Spinach Ramen With Onion,Pack,Taiwan,5,
301,Dragonfly,Guilin Style Rice Vermicelli,Bowl,China,4.5,
302,Samyang,Bowl Noodle Picante Beef,Bowl,Korea,3.75,
303,Paldo,Dosirac Artificial Chicken,Tray,Korea,3.25,
304,Mama,Pho Bo Rice Noodle Artificial Beef,Bowl,Thailand,3.5,
305,Lucky Me!,Supreme Special Beef Carne De Vaca,Bowl,Philippines,3.75,
306,Rhee Bros Assi,Rice Noodle Anchovy Flavor,Tray,Korea,3.75,
307,Royal Umbrella,Vegetarian Tom Yum,Cup,Thailand,2.75,
308,Tradition,Imitation Chicken Vegetarian,Pack,USA,3.75,
309,Paldo,Dosirac Beef,Tray,Korea,3.75,
310,Lucky Me!,La Paz Batchoy Beef,Pack,Philippines,2.5,
311,Vifon,Tasty Mushroom,Pack,Vietnam,2,
312,Lucky Me!,Supreme Bulalo Artificial Bone Marrow,Bowl,Philippines,1.75,
313,Paldo,Dosirac Shrimp,Tray,Korea,4.25,
314,Paldo,Dosirac Mushroom,Tray,Korea,2.5,
315,Unif,Super Bowl Artificial Spicy Beef,Bowl,Taiwan,2.75,
316,Unif,Super Bowl Artificial Stewed Pork Chop,Bowl,Taiwan,3.5,
317,Maruchan,Yakisoba Cheddar Cheese,Tray,USA,4,
318,Unif,Super Bowl Artificial Pickled Chilli Beef,Bowl,Taiwan,3.25,
319,Maruchan,Ramen Noodle Soup Oriental,Pack,USA,4,1
320,Maruchan,Ramen Noodle Soup Spicy Picante Chicken,Pack,USA,4,
321,Little Cook,TVP Spicy Beef,Bowl,Thailand,4.75,
322,Unif,Shrimp Fish,Bowl,Taiwan,3.75,
323,Ottogi,Jin Ramen (Hot),Cup,Korea,3.5,
324,Nongshim,Big Bowl Spicy Shrimp,Bowl,Korea,3.5,
325,Mee Jang,Artificial Pork,Bowl,Thailand,3.5,
326,Little Cook,TVP Curry Chicken,Bowl,Thailand,4,
327,Gomex,3 Mien Mi Tom Hum Lobster,Pack,Vietnam,3.5,
328,Nongshim,Big Bowl Udon,Bowl,Korea,4.5,
329,Mee Jang,Artificial Beef Flavor,Bowl,Thailand,3.5,
330,Vifon,Phu Gia Instant Bean Thread Chicken,Pack,Vietnam,3.25,
331,Sunlee,Crab Noodle,Bowl,Thailand,4.5,
332,Nongshim,Champong Oriental Noodles,Cup,Korea,3.75,1
333,Nissin,Big Cup Noodles Shrimp,Cup,USA,2.25,
334,Nissin,Big Cup Noodles Beef,Cup,USA,2.125,
335,Goku Uma,Hot & Spicy Beef,Bowl,Japan,3.5,
336,Six Fortune,Instant Noodles With Soup,Pack,Korea,3.5,
337,Maruchan,Ramen Noodle Soup Creamy Chicken,Pack,USA,5,
338,Nissin,Big Cup Noodles Chicken,Cup,USA,2.25,
339,Payless,Xtra Big Chilimansi Pancit Canton,Pack,Philippines,4.5,
340,Shirakiku,Japanese Style Tokusen Shoyu,Pack,Japan,4,
341,Vina Acecook,Daily Vegetarian,Pack,Vietnam,3.75,
342,Nongshim,Shin Big Bowl,Bowl,Korea,3.5,
343,Super Bihun,Goreng Rice Noodles,Pack,Indonesia,4.5,
344,Paldo,Stirfried Kimchi,Pack,Korea,3.75,
345,Myojo,Charumera Shoyu,Pack,Japan,3.5,
346,Paldo,Bowl Noodle Spicy Artificial Chicken,Bowl,Korea,3.125,
347,Sunny Maid,Mi Chay Vegetarian,Pack,Taiwan,1.75,
348,Paldo,Bowl Noodle Kimchi,Bowl,Korea,3.5,1
349,Ottogi,Ramen Bokki,Bowl,Korea,3.25,
350,Nissin,Souper Meal Tomato Garlic Shrimp,Bowl,USA,3.5,
351,Nissin,Top Ramen Picante Beef,Pack,USA,3,
352,Maruchan,Ramen Noodle Soup Chili,Pack,USA,2.75,
353,Nissin,Top Ramen Chili,Pack,USA,3.25,
354,Maruchan,Instant Lunch Chicken 35% Less Sodium,Cup,USA,3,
355,Nongshim,Noodle Lite 275 Udon Mushroom,Bowl,Korea,2.5,
356,Maruchan,Ramen Noodle Soup Roast Beef,Pack,USA,2.75,
357,Payless,Xtra Big Kalamansi Pancit Canton,Pack,Philippines,4,
358,Doll,Spicy Artificial Pork,Pack,Hong Kong,3.75,
359,Nissin,Bowl Noodles Hot & Spicy Beef,Bowl,USA,3.75,
360,Nissin,Cup Noodles Hearty Chicken,Cup,USA,2.5,
361,Tayho,Vermicelli With Pork,Bowl,USA,1.25,
362,Vina Acecook,Daily Hot & Sour With Shrimp,Pack,Vietnam,4.5,
363,Nissin,Demae Iccho Tonkotsu Macaroni,Pack,Japan,3.5,
364,Sao Tao,Noodle King Beef Hong Kong Style,Bowl,Hong Kong,2.5,
365,Nissin,Cup Noodles Prawn,Cup,Singapore,3.25,
366,Payless,Pancit Shanghai,Pack,Philippines,2.75,
367,Saigon Ve Wong,Kung Fu Artificial Chicken,Pack,Vietnam,3.25,
368,Knorr,Chili Pork,Cup,Thailand,3.5,
369,Bon Go Jang,Tofu Udon Dosirak,Tray,Korea,3.75,
370,Fuku,Superior Soup,Pack,Hong Kong,5,
371,Nissin,Chow Noodles Alfredo,Tray,USA,3.75,
372,Noodle Time,Spicy Thai,Bowl,Canada,0.5,
373,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.75,
374,Vifon,Asian Style Instant Noodles Shrimp,Pack,Vietnam,3.75,
375,Vifon,Pho Bo Beef Rice Noodle,Pack,Vietnam,0.5,
376,Sau Tao,Noodle King Lobster Thick,Bowl,Hong Kong,2.75,
377,Sau Tao,Ho Fan Abalone Chicken,Bowl,Hong Kong,4,
378,Ve Wong,Hot Of Hots Artificial Satay Beef,Bowl,Taiwan,3.75,
379,Nissin,Chow Mein Thai Peanut,Tray,USA,2.5,
380,Rhee Bros Assi,Pho Vietnamese Noodle Soup,Tray,Korea,3.75,
381,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Vietnam,4.25,
382,Lucky Me!,N-Rich Artificial Chicken With Ginger,Pack,Philippines,2.5,
383,Lucky Me!,Chicken Na Chicken,Pack,Philippines,2.75,
384,Nissin,Demae Iccho Tom Yam Goong Macaroni,Pack,Japan,4,
385,Ve Wong,Hot Of Hots Artificial Black Peppered Beef,Bowl,Taiwan,1.25,
386,US Canning,Fu Chang Chinese Noodle Company Pork Seafood,Tray,USA,0,
387,Nissin,Bowl Noodles Rich & Savory Beef,Bowl,USA,3.75,
388,Maruchan,Instant Lunch Cheddar Cheese,Cup,USA,2.75,
389,Mama,Vegetarian Tom Yum,Pack,Thailand,2.75,
390,Menraku,Curry Soba,Bowl,Japan,4,
391,Myojo,Hyoubanya No Chukasoba Oriental,Pack,Japan,4.25,
392,Nissin,Yakisoba Noodles Karashi,Tray,Japan,5,
393,Kamfen,Dried Mix Noodles XO Sauce,Tray,China,2,
394,Paldo,Hwa Cup Hot Spicy,Cup,Korea,3.5,
395,Ottogi,Jin Ramen (Mild),Cup,Korea,3,
396,Vina Acecook,Bestcook Hot spicy Tom Yum Shrimp,Bowl,Vietnam,4.25,
